iso3c;region_id;country_name;income_id;city_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent;institutional_framework_department_dedicated_to_solid_waste_management_na;institutional_framework_environmental_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_information_system_for_solid_waste_management_na;institutional_framework_performed_a_social_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_unit_enforcing_solid_waste_issues_in_the_city_such_as_illegal_dumping_or_littering_na;legal_framework_long_term_integrated_solid_waste_master_plan_na;legal_framework_master_plan_is_being_implemented_na;legal_framework_solid_waste_management_rules_and_regulations_na;n_waste_pickers_number_of_waste_pickers_number_of_people;percent_informal_sector_percent_collected_by_informal_sector_percent;population_population_number_of_people;primary_collection_mode_form_of_primary_collection_na;separation_breakdonw_cans_and_metals_na;separation_breakdonw_glass_na;separation_breakdonw_organics_na;separation_breakdonw_other_na;separation_breakdonw_paper_cardboard_na;separation_breakdonw_plastics_and_packaging_na;separation_existence_of_source_separation_na;subisidies_other_subsidies_or_transfers_na;subisidies_subsidies_or_transfers_from_a_central_government_authority_na;total_msw_total_msw_generated_tons_year;transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km;transportation_transfer_station_or_colletion_point_aggregation_na;transportation_transfer_stations_operational_number;transportation_transfer_stations_operational_na;transportation_trips_per_year_na;transportation_trips_per_year_trips_year;waste_treatment_advanced_thermal_treatment_percent;waste_treatment_anaerobic_digestion_percent;waste_treatment_compost_percent;waste_treatment_controlled_landfill_percent;waste_treatment_incineration_percent;waste_treatment_landfill_unspecified_percent;waste_treatment_open_dump_percent;waste_treatment_other_percent;waste_treatment_recycling_percent;waste_treatment_sanitary_landfill_landfill_gas_system_percent;waste_treatment_unaccounted_for_percent;waste_treatment_waterways_marine_percent
LKA;SAS;Sri Lanka;LMC;Jaffna;68.9;0.4;0.3;8.4;2.7;4;0.2;;15.1;Yes;No;No;No;Yes;No;;Yes;;;82493.0;Curbside collection;Yes;Yes;No;;Yes;Yes;;;;38278;;;;0;;;;;5.9;;;;70.3;13.6;10.4;;0;
LKA;SAS;Sri Lanka;LMC;Moratuwa;52.5;1.2;0.7;6.7;13.6;10.5;0.6;;14.1;Yes;No;No;No;Yes;No;;Yes;20.0;1.14;171214.0;Door-to-door collection;Yes;Yes;Yes;;Yes;Yes;;;;45442.5;;;;0;;;;;14.2;48.6;;;;12.9;3.1;;21.2;
LKA;SAS;Sri Lanka;LMC;Colombo;70.9;4.1;0.9;5;6.6;9.2;;3.5;;Yes;No;No;No;Yes;No;;Yes;;;318048.0;Door-to-door collection;Yes;Yes;Yes;;Yes;Yes;;;;282875;14;;;;;75555;;;0.97;;;;99;;;;0.03;
LTU;ECS;Lithuania;HIC;Vilnius;24.3;12.5;7.2;18;11.8;9.9;;4.9;11.2;Yes;;;;;Yes;Yes;Yes;;;517000.0;Centralized drop-off point;;;;;;;Yes;;;289300;;;;;;;;;;64;;;;;36.0;;;
LTU;ECS;Lithuania;HIC;Kaunas;23.25;5.34;3.01;28.87;10.53;19.66;;2.09;7.52;Yes;Yes;;;;Yes;Yes;Yes;;;292691.0;Centralized drop-off point;Yes;Yes;;;Yes;Yes;Yes;;;130663;20;;;;;;;;;87;;;;;13.0;;;
LVA;ECS;Latvia;HIC;Liepaja;26;8;3;37;6.0;9;;;10.0;;;;;;Yes;;Yes;;;69443.0;;;Yes;;;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;
LVA;ECS;Latvia;HIC;Riga;;;;;;;;;;Yes;;;;;;Yes;Yes;;;643368.0;;No;Yes;No;;Yes;Yes;Yes;;;312346;10;;;;;;;;;;;;;;;;;
MAR;MEA;Morocco;LMC;Rabat;;;;;;;;;;Yes;Yes;;Yes;;Yes;Yes;Yes;;;650000.0;Curbside collection;;;;;;;No;;;237250;20;;1.0;;;;;;;;;;;;3.0;97.0;;
MAR;MEA;Morocco;LMC;Tangier;66;1;1;7;9.0;11;;;5.0;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;50.0;10.0;1100000.0;Curbside collection;;;;;;;No;;;350000;20;;0.0;;;1095;;;;;;;100;;;;;
MAR;MEA;Morocco;LMC;Beni Mellal;65;3;2;17;6.0;7;;;;;;;;;;;;;;192362.0;centralized and curbside;;;;;;;Yes;;;52955;4.5;;;;;;;;;;;;;;;;;
MDA;ECS;Moldova;LMC;Soldanesti;20.2;3.5;0.7;60.9;5.5;9.1;;;;No;Yes;No;Yes;Yes;Yes;Yes;Yes;;;7500.0;Centralized drop-off point;Yes;Yes;Yes;;Yes;Yes;Yes;;;2037.5;;;0.0;;;468;;;;;;;;;;;;
MDA;ECS;Moldova;LMC;Chisinau;74;5;2;10;2.0;5;;1;1.0;Yes;Yes;No;Yes;Yes;Yes;;Yes;;;789534.0;Centralized drop-off point;No;Yes;No;;Yes;Yes;Yes;;;282900;20;;1.0;;;;;;;;;;;;;;;
MDG;SSF;Madagascar;LIC;Antananarivo;24.3;;0.1;54.07;8.2;11.1;;2.1;0.2;Yes;;;;;;;Yes;2717.0;;2610000.0;;;;;;;;;;;401500;10;;;;;;;;;;;;;;;;;
MDV;SAS;Maldives;UMC;Male;48.76;3;3;16.25;12.0;10;;2.75;4.24;Yes;Yes;No;Yes;Yes;No;No;Yes;;;153904.0;Door-to-door collection;No;No;No;Yes;No;No;No;;;87143.57;5;;;;;;;;;;;;100;;;;;
MDV;SAS;Maldives;UMC;Addu;40;3;4;11;7.0;5;;;30.0;Yes;Yes;No;Yes;Yes;No;No;Yes;;;21275.0;Door-to-door collection;No;No;No;No;No;No;No;;;7612;7;;;0;;;;;;;;;100;;;;;
MDV;SAS;Maldives;UMC;Fuahmulah;19.57;2.84;2.13;13.65;4.2;6.93;;1;49.68;Yes;Yes;No;Yes;Yes;No;No;Yes;;100.0;8510.0;Centralized drop-off point;No;No;No;No;No;No;No;;;2510.4699999999998;3;;;0;;;;;;;;;100;;;;;
MEX;LCN;Mexico;UMC;México City;49.5;2.65;1.45;22.87;9.92;13.16;;0.45;;Yes;;Yes;;;Yes;Yes;Yes;3488.0;;8851080.0;Curbside collection;;;Yes;;;;Yes;;;4705945;;;12.0;;;;;;10.6;66.7;;;;4.2;14.19;1.56;2.75;
MEX;LCN;Mexico;UMC;Guadalajara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,;33.68;4.03;0.77;22.41;,;,Yes,,,648812,,,;,,;,Yes,;;,2,,,,;,,;,;;",,492.26,,,,,,,,,,,,,,,,,,,,,,8,92,,
MEX,LCN,Mexico,UMC,Monterrey,";,,,,,,;,;;;;,;31.24;3.22;1.8;39.87;7.06;16.18;0.01;0.06;0.54;;;;;;,;,;21;;;;,,;;,Yes,,,40108,Door to door collection,;,;,;,;672600.0;3,25E+05;8614.0;;;,;
MKD;ECS;Macedonia, FYR;UMC;Skopje;15.2;5.5;1.2;48.4;15.3;12.4;;;2.0;No;;;;;Yes;;Yes;4500.0;20.0;503000.0;Centralized drop-off point;;;;;;;No;;5000000;182489;;;;;;;;;;95;;;2;;3.0;;;
MLI;SSF;Mali;LIC;Bamako;36.2;12;14;23;12.8;16;;;;;;;;;;;;;54.0;1933000.0;;;;;;;;;;;330000;;;;;;;;;;;;;;;21.0;;;
