iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
GEO,ECS,Georgia,LMC,12605.1396484375,39.0,3.0,5.0,16.0,34.0,3.0,No,No,Yes,,3717100,21000.0,,800000.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2007.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
GHA,SSF,Ghana,LMC,3092.596923828125,67.0,0.0,1.0,25.0,3.0,4.0,,Yes,Yes,Yes,21542008,39000.0,,3538274.97825,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
GIB,ECS,Gibraltar,HIC,43711.80078125,24.57,4.42,4.37,14.38,33.65,15.86,,Yes,Yes,Yes,33623,201.44,58995.04,16954.0,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2013.0,"Gibraltar, Ministry for the Environment. 2017. ""Gibraltar Waste Management Plan 2013."" Environmental Agency Gibraltar and Department of the Environment, Ministry for the Environment, Government of Gibraltar. Adopted December 2013. Revised December 2017. http://environmental-agency.gi/wp-content/uploads/2016/04/WasteManagementPlan2013.pdf."
GIN,SSF,Guinea,LIC,1622.77685546875,58.0,1.0,1.0,27.0,9.0,4.0,,,Yes,Yes,8132552,8000.0,,596911.0,5.0,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
GMB,SSF,"Gambia, The",LIC,2180.855712890625,35.0,1.9,2.1,51.4,9.7,,,Yes,Yes,No,1311349,2200.0,,193440.54,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
GNB,SSF,Guinea-Bissau,LIC,1800.068603515625,,,,,,,,,,,1770526,1000.0,,289514.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
GNQ,SSF,Equatorial Guinea,UMC,24827.072265625,,,,,,,,,,,1221490,,,198443.06,,total_msw_total_msw_generated_tons_year,tonnes/year,2016.0,
GRC,ECS,Greece,HIC,30465.44921875,40.0,3.0,3.0,9.0,29.0,14.0,No,Yes,Yes,Yes,10716322,188460.0,221041.0,5615352.5,19.0,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
GRD,LCN,Grenada,UMC,13207.7119140625,27.1,3.1,2.4,36.5,13.6,16.4,Yes,Yes,Yes,Yes,105481,800.0,,29536.113936927773,,waste_treatment_compost_percent,tonnes/year,2011.0,"Grenada, Population and Housing Census. 2011. http://finance.gd/images/Censussubmissionfinal.pdf."
GRL,ECS,Greenland,HIC,43948.5625,42.8,7.1,2.0,33.4,11.4,2.4,,,Yes,No,56905,,730.0,50000.0,,composition_food_organic_waste_percent,%,2011.0,"Eisted, Rasmus, and Thomas H. Christensen. 2011a. ""Characterization of Household Waste in Greenland."" Waste Management 31: 1461–1466. doi:10.1016/j.wasman.2011.02.018."
GTM,LCN,Guatemala,UMC,8125.36474609375,37.7144911834619,4.391835579814286,,18.01847364137028,16.046702153078943,17.290808751009344,,,No,Yes,16252429,55000.0,10051.0,2756740.97135,,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"IDB-AIDIS-PAHO (Inter-American Development Bank, Inter-American Association of Sanitary and Environmental Engineering, and Pan American Health Organization). 2011. ""Report of the Regional Evalution of the Management of Municipal Solid Waste in Latin American and the Caribbean 2010"" [""Informe de la Evaluación Regional del Manejo de Residuos Sólidos Urbanos en América Latina y el Caribe 2010""]. Inter-American Development Bank (IDB), Inter-American Association of Sanitary and Environmental Engineering [Asociación Interamericana de Ingeniería Sanitaria y Ambiental (AIDIS)], and Pan American Health Organization (PAHO) [Organización Panamericana de la Salud (OPS)]."
GUM,EAS,Guam,HIC,59074.94140625,27.3,4.6,9.0,8.7,28.5,12.4,,Yes,Yes,Yes,159973,,,141500.0,17.85,waste_collection_coverage_rural_percent_of_households,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
GUY,LCN,Guyana,UMC,9812.08984375,50.1,4.7,4.2,12.099999999999998,10.7,14.2,No,Yes,No,No,746556,5000.0,741.78,179251.5,0.54,waste_collection_coverage_total_percent_of_waste,Percent of population,2014.0,"IDB (Inter-American Development Bank). 2015. ""Situation of SOLID WASTE management in Latin America and the Caribbean"" [BID (Banco Interamericano de Desarrollo). 2015. ""Situación de la gestión de RESIDUOS SÓLIDOS en América Latina y el Caribe""]."
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,35.0,3.0,2.0,14.0,22.0,21.0,Yes,Yes,Yes,Yes,7305700,70000.0,54812.0,5679816.465,34.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015.0,"Hong Kong, Environmental Protection Department, Statistics Unit. 2016b. ""Monitoring of Solid Waste in Hong Kong: Waste Statistics for 2015."" December."
HND,LCN,Honduras,LMC,5395.61376953125,57.9,1.27,2.11,6.62,17.36,14.41,No,,Yes,Yes,9112867,1700.0,253.14,2162027.69575,,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"IDB-AIDIS-PAHO (Inter-American Development Bank, Inter-American Association of Sanitary and Environmental Engineering, and Pan American Health Organization). 2011. ""Report of the Regional Evalution of the Management of Municipal Solid Waste in Latin American and the Caribbean 2010"" [""Informe de la Evaluación Regional del Manejo de Residuos Sólidos Urbanos en América Latina y el Caribe 2010""]. Inter-American Development Bank (IDB), Inter-American Association of Sanitary and Environmental Engineering [Asociación Interamericana de Ingeniería Sanitaria y Ambiental (AIDIS)], and Pan American Health Organization (PAHO) [Organización Panamericana de la Salud (OPS)]."
HRV,ECS,Croatia,HIC,28829.35546875,30.9,3.7,2.1,11.5,23.2,22.9,Yes,Yes,Yes,Yes,4067500,58078.0,130326.0,1810037.5,16.32,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
HTI,LCN,Haiti,LIC,2952.61865234375,61.3,1.6,2.5,16.80000000000001,4.1,12.7,No,No,No,No,10847334,6000.0,,2309852.45485,,waste_treatment_controlled_landfill_percent,tonnes/year,2012.0,"IHSI, IRD, Dial, Nopoor, ANR. 2014. ""The evolution of living conditions in Haiti between 2007 and 2012. The social replica of the earthquake""[""L’évolution des conditions de vie en Haïti entre 2007 et 2012. La réplique sociale du séisme""]. IHSI (Haitian Institute of Statistics and Informatics[Institut Haitien de Statistique et d'Informatique]). IRD (Research Institute for Development [Institut de recherche pour le développement]). ANR (The National Research Agency [l’Agence nationale de la recherche]). Port-au-Prince, Paris, June. // SWANA Haiti Response Team. 2010. ""Municipal Solid Waste Collection Needs in Port-au-Prince, Haiti: Position Paper."" Solid Waste Association of North America (SWANA). August. /// Naquin, Pascale. 2016. ""Design and Implementation of a Quantification and Characterization Campaign for Household Waste in the Territory of AITOM le Marien (Cap Haïtien – Limonade – Quartier Morin)"" [""Conception et réalisation d’une campagne de quantification et de caractérisation de déchets ménagers sur le territoire de l’AITOM le Marien (Cap Haïtien – Limonade – Quartier Morin)""]. Contract ATN/OC – 15 400 – HA. Inter-American Development Bank (IDB). December."
HUN,ECS,Hungary,HIC,32643.490234375,22.5,3.5,1.8,45.9,13.4,13.0,Yes,Yes,Yes,Yes,9769949,50066.0,596554.0,3780970.25,25.94,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
IDN,EAS,Indonesia,LMC,10531.1982421875,53.8,2.5,1.8,12.9,14.9,14.0,,Yes,Yes,Yes,261115456,1274000.0,23000000.0,65200000.0,7.0,special_waste_agricultural_waste_tons_year,tonnes/year,1997.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
IMN,ECS,Isle of Man,HIC,44203.62109375,,,,,,,Yes,Yes,Yes,,80759,,,50551.0,50.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011.0,"Isle of Man, Department of Infrastructure. n.d. ""Waste Policy and Strategy, 2012 to 2022."" Waste Management, Department of Infrastructure, Government of Isle of Man. https://www.gov.im/media/472034/waste_strategy.pdf."
IND,SAS,India,LMC,6496.8076171875,,,,,,,No,Yes,Yes,Yes,1352617344,1700000.0,7467000.0,189750000.0,5.0,waste_treatment_compost_percent,tonnes/year,2016.0,"India CPCB (Central Pollution Control Board). 2017a. “Consolidated Annual Review Report on Implementation of Solid Wastes Management Rules, 2016 – Annual Review Report 2015-16.” Government of India Ministry of Environment, Forests and Climate Change. May."
IRL,ECS,Ireland,HIC,83388.71875,16.6,8.5,3.7,25.8,25.0,12.4,,Yes,Yes,Yes,4867316,212874.0,482907.0,2910655.0,33.0,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623046875,72.9,1.9,2.3,5.0,7.3,8.5,No,Yes,Yes,Yes,80277424,630000.0,8000000.0,17885000.0,5.0,special_waste_agricultural_waste_tons_year,tonnes/year,2005.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
IRQ,MEA,Iraq,UMC,10310.6796875,68.7,2.3,0.98,6.0,9.6,5.29,No,No,No,,36115648,221000.0,20622.0,13140000.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2015.0,"Iraq, Ministry of Environment. 2015. ""State of the Environment in Iraq 2015"" [حالة البيئة في العراق لعام 2015]. Ministry of Environment, Government of Iraq."
ISL,ECS,Iceland,HIC,55274.1875,10.0,,,,38.0,9.0,,Yes,Yes,No,343400,7600.0,7000.0,225270.40625,55.81,special_waste_agricultural_waste_tons_year,tonnes/year,2013.0,"Iceland, Statistics Iceland. 2015. ""Statistical Yearbook of Iceland 2015"". [Landshagir 2015]. Statistics of Iceland III, 108 [Hagskýrslur Íslands III, 108]. Statistics Iceland [Hagstofa Íslands], Government of Iceland."
ISR,MEA,Israel,HIC,37687.74609375,34.0,3.0,3.0,16.0,24.0,18.0,,Yes,Yes,,8380100,120000.0,321000.0,5400000.0,25.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015.0,"Israel, Ministry of Environmental Protection. 2015. ""Construction and Demolition Waste."" "
ITA,ECS,Italy,HIC,42419.72265625,34.4,7.6,4.3,15.4,22.8,11.6,Yes,Yes,Yes,No,60297396,2800026.0,8923548.0,30088400.0,25.9,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
JAM,LCN,Jamaica,UMC,9550.810546875,62.22,2.81,2.38,5.13,14.73,12.2,Yes,Yes,Yes,Yes,2881355,17000.0,10000.0,1051694.575,,waste_treatment_controlled_landfill_percent,tonnes/year,2016.0,"Jamaica NSWMA (National Solid Waste Management Authority). 2017. ""Tonnage Islandwide 2016."""
JOR,MEA,Jordan,UMC,10413.17578125,50.0,2.0,1.5,15.5,15.0,16.0,,No,Yes,Yes,8413464,43000.0,1230441.0,2529997.0,7.0,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014d. ""Country Report on the Solid Waste Management in Jordan."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development [Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)]. April."
JPN,EAS,Japan,HIC,41309.95703125,36.0,5.0,4.0,6.0,33.0,11.0,Yes,No,Yes,Yes,126529104,518978.0,3600000.0,42720000.0,4.9,special_waste_agricultural_waste_tons_year,tonnes/year,2010.0,"Modak, Prasad, Agamuthu Pariatamby, Jeffrey Seadon, Perinaz Bhada-Tata, Guilberto Borongan, Nang Sian Thawn, Ma. Bernadeth Lim. 2017. ""Asia Waste Management Outlook"". Edited by P. Modak. United Nations Environment Programme (UNEP), Asian Institute of Technology (AIT), and International Solid Waste Association (ISWA)."
KAZ,ECS,Kazakhstan,UMC,22702.580078125,30.0,5.0,3.0,7.0,25.0,25.0,No,Yes,Yes,Yes,16791424,147000.0,,4659740.0,2.92,waste_collection_coverage_rural_percent_of_households,Percent of population,2010.0,"World Bank. n.d. ""Legal, Institutional, Financial Arrangement and Practices of Solid Waste Management Sector in Kazakhstan."" Washington, DC: World Bank."
KEN,SSF,Kenya,LMC,3329.8544921875,57.0,3.0,1.0,9.0,11.3,18.7,,,Yes,,41350152,17350.0,,5595099.0,8.0,waste_collection_coverage_total_percent_of_waste,Percent of population,1999.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
KGZ,ECS,Kyrgyz Republic,LMC,4805.14111328125,,,,,,,No,Yes,Yes,Yes,5956900,7200.0,4771346.0,1113300.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2010.0,"Anon. 2012. ""Waste production and disposal in the Kyrgyz Republic."" Waste Statistics Seminar. Geneva, April 11‐13."
KHM,EAS,Cambodia,LMC,3364.27880859375,66.6,2.6,2.0,10.4,4.0,8.6,No,Yes,Yes,Yes,15270790,14000.0,,1089000.0,,waste_collection_coverage_urban_percent_of_population,Percent of population,2009.0,"Sang-Arun, Janya and Chau Kim Heng. 2011. ""A Guide for Technology Selection and Implementation of Urban Organic Waste Utilization Projects in Cambodia."" IGES Policy Report 2011-06. Institute for Global Environmental Strategies, Japan. Accessed April 17, 2017. https://pub.iges.or.jp/pub/guide-technology-selection-and-implementation."
KIR,EAS,Kiribati,LMC,2249.7685546875,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,No,114395,100.0,,35723.8275,,waste_collection_coverage_total_percent_of_waste,Percent of population,2016.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
KNA,LCN,St. Kitts and Nevis,HIC,25569.357421875,27.2,8.1,8.8,12.2,20.5,23.2,Yes,Yes,Yes,No,54288,700.0,,32892.14,,waste_treatment_controlled_landfill_percent,tonnes/year,2017.0,"SIDS DOCK (Small Island Developing States). 2015. ""Toward the Development of a Caribbean Regional Organic Waste Management Sub-Sector: Development of a Caribbean Regional Organic Waste Management Conversion Sub-Sector to Increase Costal Resilience and Climate Change Impacts and Protect Fresh Water Resources."" Draft 1.0. SIDS DOCK Secretariat and Caribbean Community Climate Change Centre. May 18. "
KOR,EAS,"Korea, Rep.",HIC,42105.28125,30.0,2.5,2.6,,41.0,24.3,Yes,Yes,Yes,Yes,51606632,570635.0,,20452776.0,58.0,waste_treatment_compost_percent,tonnes/year,2014.0,"OECD (Organisation for Economic Co-operation and Development). 2017. ""Municipal Waste (Indicator)."" OECD Data, Organisation for Economic Co-operation and Development (OECD). Accessed May 28, 2017. https://data.oecd.org/waste/municipal-waste.htm."
KWT,MEA,Kuwait,HIC,58810.30078125,45.0,4.0,2.0,8.0,20.0,20.0,No,Yes,Yes,,2998083,67000.0,203000.0,1750000.0,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2008.0,"AFED (Arab Forum for Environment and Development). 2008. ""Arab Environment: Future Challenges. 2008 Report of the Arab Forum for Environment and Development."" Edited by Mostafa K. Tolba and Najib W. Saab."
LAO,EAS,Lao PDR,LMC,6543.6669921875,16.9,9.3,3.7,20.3,2.8,6.1,None,Yes,Yes,Yes,6663967,7500.0,5200.0,351900.0,10.0,waste_treatment_controlled_landfill_percent,tonnes/year,2015.0,"Keohanam, Bounthong. 2017. Director, Urban Development Division, Department of Housing and Urban Planning, Ministry of Public Works and Transport, Government of Laos. Personal communication with the World Bank. May 8."
LBN,MEA,Lebanon,UMC,16966.740234375,52.5,3.5,5.5,11.0,16.0,11.5,No,Yes,No,No,5603279,51000.0,46000.0,2040000.0,8.0,waste_treatment_compost_percent,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014e. ""Country Report on the Solid Waste Management in Lebanon."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
LBR,SSF,Liberia,LIC,1333.4222412109375,,,,,,,,Yes,Yes,Yes,3512932,,,564466.7,,total_msw_total_msw_generated_tons_year,tonnes/year,2007.0,"UNEP (United Nations Environment Programme). 2007. ""Assessment of Solid Waste Management in Liberia."" Post-Conflict and Disaster Management Branch, United Nations Environment Programme (UNEP), in collaboration with the Environmental Protection Agency, Government of Liberia. /// UN DESA (United Nations, Department of Economic and Social Affairs). 2014c. ""World Urbanization Prospects: The 2014 Revision."" UN Doc. No. ST/ESA/SER.A/366. Department of Economic and Social Affairs, Population Division."
LBY,MEA,Libya,UMC,8479.9462890625,70.1,3.1,4.3,3.8,5.5,7.5,No,Yes,No,,6193501,70000.0,,2147596.47175,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010.0,"Ali, Ashraf, and Chukwunonye Ezeah. 2017. ""Framework for Management of Post-Conflict Waste in Libya."" European Scientific Journal February 2017 edition vol.13, No.5 ISSN: 1857 – 7881 (Print) e - ISSN 1857- 7431. doi: 10.19044/esj.2017.v13n5p32."
LCA,LCN,St. Lucia,UMC,14029.982421875,45.0,7.0,5.0,11.0,10.0,22.0,Yes,Yes,Yes,Yes,177206,1600.0,2732.0,77616.228,,waste_treatment_compost_percent,tonnes/year,2010.0,"St. Lucia Government Statistics Department. 2011. ""2010 Population and Housing Census, Preliminary Report."" April."
LIE,ECS,Liechtenstein,HIC,45726.98828125,37.6,5.0,12.5,9.1,30.3,5.4,,Yes,Yes,No,36545,293.0,1204.0,32382.0,64.6,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
LKA,SAS,Sri Lanka,LMC,12287.47265625,62.0,2.0,3.0,13.0,7.0,7.0,Yes,Yes,Yes,No,21203000,72.5,,2631650.0,12.79,waste_treatment_compost_percent,tonnes/year,2016.0,"Sri Lanka, Ministry of Mahaweli Development and Environment. 2016. ""Comprehensive Integrated Solid Waste Management Plan for Target Provinces in Sri Lanka."" Ministry of Mahaweli Development and Environment, Government of Sri Lanka. May."
LSO,SSF,Lesotho,LMC,1978.6083984375,,,,,,,,,,,1965662,1800.0,,73457.0,,waste_collection_coverage_rural_percent_of_households,Percent of households,2011.0,"Lesotho Bureau of Statistics. 2013. ""2012 Solid Waste, Water and Sanitation."" Statistical Report No. 19. Lesotho Bureau of Statistics, Maseru."
LTU,ECS,Lithuania,HIC,37278.3046875,40.4,8.65,2.75,44.05,10.05,10.15,No,Yes,Yes,Yes,2786844,82691.0,165477.0,1315390.375,22.92,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
LUX,ECS,Luxembourg,HIC,114323.40625,30.0,4.0,2.0,27.0,19.0,18.0,Yes,Yes,Yes,No,619896,7398.0,237180.0,490337.75,28.37,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
LVA,ECS,Latvia,HIC,30982.173828125,46.7,21.4,2.6,9.7,6.1,7.7,,Yes,Yes,Yes,1912789,25071.0,104142.0,839714.375,21.23,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
MAC,EAS,"Macao SAR, China",HIC,117335.5859375,3.1,3.3,1.7,3.1,58.7,7.9,Yes,Yes,Yes,Yes,612167,11000.0,3118.0,377942.0,20.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016.0,Macao. 2014. Report on the State of the Environment of Macao 2014. http://www.dspa.gov.mo/StateReportHTML/2014/pdf/en/04.pdf 
MAF,LCN,St. Martin (French part),HIC,30385.89453125,,,,,,,,,Yes,Yes,30959,,,15479.5,,total_msw_total_msw_generated_tons_year,tonnes/year,2012.0,"Sterviinou, L. n.d. ""What to Do with Our Waste in Saint Martin?"" [""Quoi faire de nos déchets à Saint-Martin?""]. MAXImini.com."
MAR,MEA,Morocco,LMC,6915.10302734375,60.0,2.0,2.5,6.0,9.0,8.0,No,No,Yes,Yes,34318080,30300.0,289385.0,6852000.0,8.0,waste_treatment_compost_percent,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014f. ""Country Report on the Solid Waste Management in Morocco."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
MCO,ECS,Monaco,HIC,43711.80078125,,3.0,2.2,,2.2,1.0,Yes,Yes,Yes,Yes,37783,,312.07,46000.0,5.4,waste_collection_coverage_total_percent_of_waste,Percent of population,2012.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
MDA,ECS,Moldova,LMC,10360.830078125,55.0,4.0,3.0,23.0,5.0,10.0,No,Yes,Yes,Yes,3554108,6300.0,418.0,3981200.0,15.32,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2010.0,"Anon. 2013. ""STRATEGY WASTE MANAGEMENT IN THE REPUBLIC OF MOLDOVA FOR THE YEARS 2013-2027"" [""STRATEGIA DE GESTIONARE A DEŞEURILOR ÎN REPUBLICA MOLDOVA PENTRU ANII 2013-2027""]. Annex to the Government Decision no. 248 of 10 April 2013 [Anexă la Hotărîrea Guvernului nr. 248 din 10 aprilie 2013]."
MDG,SSF,Madagascar,LIC,1565.866943359375,,,,,,,,,Yes,Yes,24894552,14000.0,45957.0,3768759.16,,waste_treatment_compost_percent,tonnes/year,2007.0,"UNSD (United Nations Statistics Division). 2016b. ""Environmental Indicators: Waste. Municipal Waste Treated."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
MDV,SAS,Maldives,UMC,17284.609375,24.0,,1.0,1.0,6.0,3.0,No,Yes,Yes,No,409163,3003.95,15105.525,211505.78,,waste_treatment_compost_percent,tonnes/year,2016.0,"Maldives, MEE (Ministry of Environment and Energy). 2017b. ""State of the Environment 2016,"" by M. Mohamed. Ministry of Environment and Energy (MEE), Government of Maldives. Malé. ISBN: 978-99915-59-35-3"
MEX,LCN,Mexico,UMC,19332.07421875,52.4,5.9,3.4,12.1,13.8,10.9,Yes,,Yes,Yes,125890952,957900.0,18172.49,53100000.0,5.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011.0,"Mexican Chamber of the Construction Industry. n.d. ""Waste Management Plan for Construction and Demolition."" [Cámara Mexicana de la Industria de la Construcción. ""Plan de Manejo de Residuos de La Construcción y la Demolición""]."
MHL,EAS,Marshall Islands,UMC,3628.895263671875,8.0,2.0,6.0,31.0,11.0,13.0,,Yes,Yes,None,52793,,,8614.0,30.8,waste_treatment_compost_percent,tonnes/year,2007.0,"UNSD (United Nations Statistics Division). 2016b. ""Environmental Indicators: Waste. Municipal Waste Treated."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
MKD,ECS,"Macedonia, FYR",UMC,16147.7294921875,29.3,4.1,2.5,19.8,12.8,13.900000000000002,Yes,Yes,Yes,Yes,2082958,1220.0,40797.0,626970.375,0.18,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
MLI,SSF,Mali,LIC,2007.8060302734373,17.5,1.0,3.5,72.5,3.5,2.0,,,,Yes,16006670,12000.0,,1937354.44,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
