iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
USA,NAC,United States,HIC,61498.37109375,14.9,4.4,9.0,3.2,26.6,12.9,Yes,Yes,Yes,Yes,326687488,2440000.0,28800000.0,265224528.0,34.6,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014.0,"US EPA (Environmental Protection Agency). 2014. ""Advancing Sustainable Materials Management: 2014 Fact Sheet: Assessing Trends in Material Generation, Recycling, Composting, Combustion with Energy Recovery and Landfilling in the United States."" Office of Land and Emergency Management (OLEM), Environmental Protection Agency (EPA), Government of the United States of America."
UZB,ECS,Uzbekistan,LMC,5164.2744140625,40.0,3.0,2.0,17.5,17.5,2.5,No,Yes,Yes,Yes,29774500,,,4000000.0,,composition_food_organic_waste_percent,%,2006.0,"OSCE (Organization for Security and Co-operation in Europe). 2006. ""Environmental Safety and Civil Initiative, No. 8"" [""Экологическая безопасность и гражданская инициатива, № 8""]. Organization for Security and Co-operation in Europe (OSCE). Accessed April 19, 2017. https://www.osce.org/ru/uzbekistan/71088."
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.9931640625,49.6,5.6,3.8,10.5,22.1,8.4,Yes,Yes,Yes,No,109455,900.0,,31561.34925,,waste_treatment_compost_percent,tonnes/year,2012.0,"St. Vincent and the Grenadines, Statistical Office. 2012. ""2012 Compendium of Environmental Statistics."" Central Planning Division. Ministry of Economic Planning, Sustainabe Development, Industry, Information and Labour. Kingstown. http://www.cwsasvg.com/contactus.html"
VEN,LCN,"Venezuela, RB",UMC,14269.673828125,,,,,,,,No,Yes,,29893080,232700.0,123157.0,9779093.14,,waste_collection_coverage_total_percent_of_waste,Percent of population,2010.0,"IDB (Inter-American Development Bank). 2015. ""Situation of SOLID WASTE management in Latin America and the Caribbean"" [BID (Banco Interamericano de Desarrollo). 2015. ""Situación de la gestión de RESIDUOS SÓLIDOS en América Latina y el Caribe""]."
VGB,LCN,British Virgin Islands,HIC,24215.8828125,6.5,18.1,8.6,4.8,33.5,6.3,Yes,Yes,Yes,Yes,20645,,,21099.19,,waste_collection_coverage_total_percent_of_waste,Percent of population,2001.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
VIR,LCN,Virgin Islands (U.S.),HIC,30436.564453125,46.0,7.0,7.0,12.0,15.0,13.0,,Yes,Yes,Yes,105784,,,146500.0,,composition_food_organic_waste_percent,%,2015.0,"Mohee, R., S. Mauthoor, Z. M. A. Bundhoo, G. Somaroo, N. Soobhany, and S. Gunasee. 2015. ""Current Status of Solid Waste Management in Small Island Developing States: A Review"" [Supplementary Material]. Waste Management 43: 539–549."
VNM,EAS,Vietnam,LMC,5089.4111328125,61.9,2.18,0.58,15.18,5.2,12.15,No,Yes,Yes,Yes,86932496,141000.0,2995153.5,9570300.0,23.0,waste_treatment_compost_percent,tonnes/year,2013.0,"Vietnam WENID (Waste Management and Environment Improvement Department). 2013. ""Country Analysis Paper."" Paper presented at the Fourth Regional 3R Forum in Asia, “3Rs in the Context of Rio+20 Outcomes: The Future We Want,” Hanoi, March 18–20."
VUT,EAS,Vanuatu,LMC,3061.787353515625,73.4,5.4,3.8,5.7,4.05,6.45,,Yes,Yes,Yes,270402,300.0,,70225.489,37.0,waste_collection_coverage_total_percent_of_waste,Percent of population,2011.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
WSM,EAS,Samoa,UMC,6210.9833984375,42.6,2.2,8.8,19.4,7.2,13.0,,Yes,Yes,Yes,187665,500.0,,27399.09,36.0,waste_treatment_controlled_landfill_percent,tonnes/year,2013.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
XKX,ECS,Kosovo,LMC,9723.5615234375,42.0,6.0,6.0,20.0,8.0,11.0,Yes,Yes,Yes,Yes,1801800,23.0,495.0,319000.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,65.0,1.0,6.0,6.0,7.0,10.0,No,Yes,Yes,No,27584212,42000.0,21000.0,4836820.0,8.0,waste_treatment_controlled_landfill_percent,tonnes/year,2016.0,"Al-Eryani, Muammer. 2017. Director of Solid Waste Management, Ministry of Local Administration (MoLA), Government of Yemen. Personal communication with the World Bank."
ZAF,SSF,South Africa,UMC,12666.607421875,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663434,Yes,Yes,Yes,,51729344,321000.0,1319096.0,18457232.0,28.0,waste_treatment_controlled_landfill_percent,tonnes/year,2011.0,"South Africa, Department of Environmental Affairs. 2012. ""National Waste Information Baseline Report: Draft."" Department of Environmental Affairs, Government of South Africa, Pretoria, November 14."
ZMB,SSF,Zambia,LMC,3201.289306640625,,,,,,,,,Yes,,14264756,15000.0,80000.0,2608268.0,,waste_collection_coverage_total_percent_of_waste,Percent of households,2004.0,"Environmental Council of Zambia. 2004. ""National Solid Waste Management Strategy for Zambia."" September."
ZWE,SSF,Zimbabwe,LIC,3190.506591796875,36.0,5.0,6.0,3.0,27.0,23.0,,,Yes,,12500525,13000.0,37346.0,1449752.0,16.0,waste_collection_coverage_total_percent_of_waste,Percent of households,2013.0,"Muchandiona, Aleck. 2013. ""Challenges and Opportunities in Solid Waste Management in Zimbabwe's Urban Councils."" University of Zimbabwe, Faculty of Engineering, Department of Civil Engineering. Harare, September."
