iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
MWI,SSF,Malawi,LIC,Blantyre,,,,,,,,,,701000.0,,,100,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MWI,SSF,Malawi,LIC,Lilongwe,,,,,,,,,,731000.0,,,95000,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MYS,EAS,Malaysia,UMC,Kuala Lumpur,42.02,1.84,5.3,2.53,12.9,24.74,Yes,,,6837000.0,,Yes,1600000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NAM,SSF,Namibia,UMC,Windhoek,36,13,5,10,20.0,16,,,,227000.0,,,57998.5,population_population_number_of_people,# of people,2000.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NER,SSF,Niger,LIC,Niamey,38,,1,57,2.0,2,,,Yes,816000.0,Door-to-door collection,,146000,population_population_number_of_people,# of people,2005.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NGA,SSF,Nigeria,LMC,Ilorin,61,,,32,7.0,,,,,857000.0,,,,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NGA,SSF,Nigeria,LMC,Lagos,53,5,5,12,10.0,15,,,,9000000.0,,,1642500,population_population_number_of_people,# of people,2014.0,"Miezah, Kodwo, Kwasi Obiri-Danso, Zsófia Kádár, Bernard Fei-Baffoe, and Moses Y. Mensah. 2015. ""Municipal solid waste characterization and quantification as a measure towards effective waste management in Ghana."" Waste Management 46 (2015) 15–27."
NGA,SSF,Nigeria,LMC,Oyo,56.7,3.1,2.8,4.2,14.4,18.8,,,,322000.0,,,20000,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NGA,SSF,Nigeria,LMC,Ibadan,42,4,5,27,10.0,9,Yes,,Yes,3160000.0,Door-to-door collection,No,635000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
NIC,LCN,Nicaragua,LMC,Puerto Cabezas,77,3.07,2.03,8.54,2.6,6.66,Yes,,,66169.0,Door-to-door collection,,14198.5,population_population_number_of_people,# of people,2005.0,"City Hall of Puerto Cabezas. 2012. ""First technical proposal of the municipal plan for the integral management of solid urban waste of Puerto Cabezas 2012-2016."" [Alcaldía Municipal de Puerto Cabezas. 2012. ""Primera propuesta técnica del plan municipal para el manejo integral de los residuos sólidos urbanos de Puerto Cabezas  2012-2016.""] JICA (Japan International Cooperation Agency).March."
